E2-T07 real-HTTP authorization matrix
http case=probe.uppercase status=404 body={"error":{"code":"authz_refused","reason":"authz/malformed-target","identityOffset":"0000000000000000_0000000000008483"}}
http case=probe.double-encoded status=404 body={"error":{"code":"authz_refused","reason":"authz/malformed-target","identityOffset":"0000000000000000_0000000000008483"}}
http case=probe.route-shape status=404 body={"error":{"code":"invalid_request","reason":"not_found"}}
http case=probe.internal-identity status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"-1"}}
http case=probe.internal-ns status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"-1"}}
http case=probe.fs-malformed status=404 body={"error":{"code":"authz_refused","reason":"authz/malformed-target","identityOffset":"-1"}}
http case=probe.fs-traversal status=404 body={"error":{"code":"authz_refused","reason":"authz/malformed-target","identityOffset":"-1"}}
http case=probe.revoked-read status=401 body={"error":{"code":"authz_refused","reason":"authz/grant-revoked","identityOffset":"0000000000000000_0000000000008483"}}
http case=probe.undecodable-org status=404 body={"error":{"code":"authz_refused","reason":"authz/malformed-target","identityOffset":"0000000000000000_0000000000008483"}}
http case=probe.undecodable-overlong status=404 body={"error":{"code":"authz_refused","reason":"authz/malformed-target","identityOffset":"0000000000000000_0000000000008483"}}
http case=probe.truncated-escape status=404 body={"error":{"code":"authz_refused","reason":"authz/malformed-target","identityOffset":"0000000000000000_0000000000008483"}}
http case=probe.basic-authorization status=401 body={"error":{"code":"unauthorized","reason":"malformed_authorization"}}
http case=probe.garbage-bearer status=401 body={"error":{"code":"unauthorized","reason":"malformed_token"}}
http case=probe.follow-negative-after status=400 body={"error":{"code":"invalid_request","reason":"invalid_follow_parameters"}}
http case=probe.follow-oversized-wait status=400 body={"error":{"code":"invalid_request","reason":"invalid_follow_parameters"}}
http case=accepted.owner.public status=202 body={"ok":true,"actor":"auth0|e2-t07-owner","identityOffset":"0000000000000000_0000000000008483"}
http case=accepted.writer.private status=202 body={"ok":true,"actor":"auth0|e2-t07-writer","identityOffset":"0000000000000000_0000000000009035"}
http case=accepted.owner.live status=202 body={"ok":true,"actor":"auth0|e2-t07-owner","identityOffset":"0000000000000000_0000000000009590"}
http case=follow.live.public status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","by":"owner","writer":{"op":"e2-t07-operation-9","seq":3,"sub":"auth0|e2-t07-owner","v":1}},"ts":103,"type":"matrix.live"}],"after":3,"identityOffset":"0000000000000000_0000000000009590","basis":"public"}
revocation grant=e2-t07-grant-writer offset=0000000000000000_0000000000010320
http case=revoked.writer.private status=401 body={"error":{"code":"authz_refused","reason":"authz/grant-revoked","identityOffset":"0000000000000000_0000000000010320"}}
revocation-ordering accepted-offset=0000000000000000_0000000000009035 < revocation-offset=0000000000000000_0000000000010320 <= refused-offset=0000000000000000_0000000000010320
E2_T07_HTTP_MATRIX_OK

